,title,authors,abstract
79,Shaping the Globular Cluster Mass Function by Stellar-Dynamical   Evaporation,Dean E. McLaughlin and S. Michael Fall,"  We show that the globular cluster mass function (GCMF) in the Milky Way depends on cluster half-mass density (rho_h) in the sense that the turnover mass M_TO increases with rho_h while the width of the GCMF decreases. We argue that this is the expected signature of the slow erosion of a mass function that initially rose towards low masses, predominantly through cluster evaporation driven by internal two-body relaxation. We find excellent agreement between the observed GCMF -- including its dependence on internal density rho_h, central concentration c, and Galactocentric distance r_gc -- and a simple model in which the relaxation-driven mass-loss rates of clusters are approximated by -dM/dt = mu_ev ~ rho_h^{1/2}. In particular, we recover the well-known insensitivity of M_TO to r_gc. This feature does not derive from a literal ``universality'' of the GCMF turnover mass, but rather from a significant variation of M_TO with rho_h -- the expected outcome of relaxation-driven cluster disruption -- plus significant scatter in rho_h as a function of r_gc. Our conclusions are the same if the evaporation rates are assumed to depend instead on the mean volume or surface densities of clusters inside their tidal radii, as mu_ev ~ rho_t^{1/2} or mu_ev ~ Sigma_t^{3/4} -- alternative prescriptions that are physically motivated but involve cluster properties (rho_t and Sigma_t) that are not as well defined or as readily observable as rho_h. In all cases, the normalization of mu_ev required to fit the GCMF implies cluster lifetimes that are within the range of standard values (although falling towards the low end of this range). Our analysis does not depend on any assumptions or information about velocity anisotropy in the globular cluster system. "
80,Quantum Deformations of Relativistic Symmetries,"V.N. Tolstoy (INP, Moscow State University)",  We discussed quantum deformations of D=4 Lorentz and Poincare algebras. In the case of Poincare algebra it is shown that almost all classical r-matrices of S. Zakrzewski classification correspond to twisted deformations of Abelian and Jordanian types. A part of twists corresponding to the r-matrices of Zakrzewski classification are given in explicit form. 
81,Matter-Wave Bright Solitons with a Finite Background in Spinor   Bose-Einstein Condensates,"Tetsuo Kurosaki, Miki Wadati","  We investigate dynamical properties of bright solitons with a finite background in the F=1 spinor Bose-Einstein condensate (BEC), based on an integrable spinor model which is equivalent to the matrix nonlinear Schr\""{o}dinger equation with a self-focusing nonlineality. We apply the inverse scattering method formulated for nonvanishing boundary conditions. The resulting soliton solutions can be regarded as a generalization of those under vanishing boundary conditions. One-soliton solutions are derived in an explicit manner. According to the behaviors at the infinity, they are classified into two kinds, domain-wall (DW) type and phase-shift (PS) type. The DW-type implies the ferromagnetic state with nonzero total spin and the PS-type implies the polar state, where the total spin amounts to zero. We also discuss two-soliton collisions. In particular, the spin-mixing phenomenon is confirmed in a collision involving the DW-type. The results are consistent with those of the previous studies for bright solitons under vanishing boundary conditions and dark solitons. As a result, we establish the robustness and the usefulness of the multiple matter-wave solitons in the spinor BECs. "
82,Why there is something rather than nothing (out of everything)?,A.O.Barvinsky,"  The path integral over Euclidean geometries for the recently suggested density matrix of the Universe is shown to describe a microcanonical ensemble in quantum cosmology. This ensemble corresponds to a uniform (weight one) distribution in phase space of true physical variables, but in terms of the observable spacetime geometry it is peaked about complex saddle-points of the {\em Lorentzian} path integral. They are represented by the recently obtained cosmological instantons limited to a bounded range of the cosmological constant. Inflationary cosmologies generated by these instantons at late stages of expansion undergo acceleration whose low-energy scale can be attained within the concept of dynamically evolving extra dimensions. Thus, together with the bounded range of the early cosmological constant, this cosmological ensemble suggests the mechanism of constraining the landscape of string vacua and, simultaneously, a possible solution to the dark energy problem in the form of the quasi-equilibrium decay of the microcanonical state of the Universe. "
83,Formation of density singularities in ideal hydrodynamics of freely   cooling inelastic gases: a family of exact solutions,"Itzhak Fouxon, Baruch Meerson, Michael Assaf, Eli Livne","  We employ granular hydrodynamics to investigate a paradigmatic problem of clustering of particles in a freely cooling dilute granular gas. We consider large-scale hydrodynamic motions where the viscosity and heat conduction can be neglected, and one arrives at the equations of ideal gas dynamics with an additional term describing bulk energy losses due to inelastic collisions. We employ Lagrangian coordinates and derive a broad family of exact non-stationary analytical solutions that depend only on one spatial coordinate. These solutions exhibit a new type of singularity, where the gas density blows up in a finite time when starting from smooth initial conditions. The density blowups signal formation of close-packed clusters of particles. As the density blow-up time $t_c$ is approached, the maximum density exhibits a power law $\sim (t_c-t)^{-2}$. The velocity gradient blows up as $\sim - (t_c-t)^{-1}$ while the velocity itself remains continuous and develops a cusp (rather than a shock discontinuity) at the singularity. The gas temperature vanishes at the singularity, and the singularity follows the isobaric scenario: the gas pressure remains finite and approximately uniform in space and constant in time close to the singularity. An additional exact solution shows that the density blowup, of the same type, may coexist with an ""ordinary"" shock, at which the hydrodynamic fields are discontinuous but finite. We confirm stability of the exact solutions with respect to small one-dimensional perturbations by solving the ideal hydrodynamic equations numerically. Furthermore, numerical solutions show that the local features of the density blowup hold universally, independently of details of the initial and boundary conditions. "
84,A Universality in PP-Waves,Partha Mukhopadhyay,"  We discuss a universality property of any covariant field theory in space-time expanded around pp-wave backgrounds. According to this property the space-time lagrangian density evaluated on a restricted set of field configurations, called universal sector, turns out to be same around all the pp-waves, even off-shell, with same transverse space and same profiles for the background scalars. In this paper we restrict our discussion to tensorial fields only. In the context of bosonic string theory we consider on-shell pp-waves and argue that universality requires the existence of a universal sector of world-sheet operators whose correlation functions are insensitive to the pp-wave nature of the metric and the background gauge flux. Such results can also be reproduced using the world-sheet conformal field theory. We also study such pp-waves in non-polynomial closed string field theory (CSFT). In particular, we argue that for an off-shell pp-wave ansatz with flat transverse space and dilaton independent of transverse coordinates the field redefinition relating the low energy effective field theory and CSFT with all the massive modes integrated out is at most quadratic in fields. Because of this simplification it is expected that the off-shell pp-waves can be identified on the two sides. Furthermore, given the massless pp-wave field configurations, an iterative method for computing the higher massive modes using the CSFT equations of motion has been discussed. All our bosonic string theory analyses can be generalised to the common Neveu-Schwarz sector of superstrings. "
85,Clustering in a stochastic model of one-dimensional gas,Vladislav V. Vysotsky,"  We give a quantitative analysis of clustering in a stochastic model of one-dimensional gas. At time zero, the gas consists of $n$ identical particles that are randomly distributed on the real line and have zero initial speeds. Particles begin to move under the forces of mutual attraction. When particles collide, they stick together forming a new particle, called cluster, whose mass and speed are defined by the laws of conservation. We are interested in the asymptotic behavior of $K_n(t)$ as $n\to \infty$, where $K_n(t)$ denotes the number of clusters at time $t$ in the system with $n$ initial particles. Our main result is a functional limit theorem for $K_n(t)$. Its proof is based on the discovered localization property of the aggregation process, which states that the behavior of each particle is essentially defined by the motion of neighbor particles. "
86,Approximate solutions to the Dirichlet problem for harmonic maps between   hyperbolic spaces,Duong Minh Duc and Truong Trung Tuyen,"  Our main result in this paper is the following: Given $H^m, H^n$ hyperbolic spaces of dimensional $m$ and $n$ corresponding, and given a Holder function $f=(s^1,...,f^{n-1}):\partial H^m\to \partial H^n$ between geometric boundaries of $H^m$ and $H^n$. Then for each $\epsilon >0$ there exists a harmonic map $u:H^m\to H^n$ which is continuous up to the boundary (in the sense of Euclidean) and $u|_{\partial H^m}=(f^1,...,f^{n-1},\epsilon)$. "
87,Some new experimental photonic flame effect features,N.V.Tcherniega,"  The results of the spectral, energetical and temporal characteristics of radiation in the presence of the photonic flame effect are presented. Artificial opal posed on Cu plate at the temperature of liquid nitrogen boiling point (77 K) being irradiated by nanosecond ruby laser pulse produces long- term luminiscence with a duration till ten seconds with a finely structured spectrum in the the antistocks part of the spectrum. Analogous visible luminescence manifesting time delay appeared in other samples of the artificial opals posed on the same plate. In the case of the opal infiltrated with different nonlinear liquids the threshold of the luminiscence is reduced and the spatial disribution of the bright emmiting area on the opal surface is being changed. In the case of the putting the frozen nonlinear liquids on the Cu plate long-term blue bright luminiscence took place in the frozen species of the liquids. Temporal characteristics of this luminiscence are nearly the same as in opal matrixes. "
88,A general approach to statistical modeling of physical laws:   nonparametric regression,I. Grabec,"  Statistical modeling of experimental physical laws is based on the probability density function of measured variables. It is expressed by experimental data via a kernel estimator. The kernel is determined objectively by the scattering of data during calibration of experimental setup. A physical law, which relates measured variables, is optimally extracted from experimental data by the conditional average estimator. It is derived directly from the kernel estimator and corresponds to a general nonparametric regression. The proposed method is demonstrated by the modeling of a return map of noisy chaotic data. In this example, the nonparametric regression is used to predict a future value of chaotic time series from the present one. The mean predictor error is used in the definition of predictor quality, while the redundancy is expressed by the mean square distance between data points. Both statistics are used in a new definition of predictor cost function. From the minimum of the predictor cost function, a proper number of data in the model is estimated. "
89,Real Options for Project Schedules (ROPS),Lester Ingber,  Real Options for Project Schedules (ROPS) has three recursive sampling/optimization shells. An outer Adaptive Simulated Annealing (ASA) optimization shell optimizes parameters of strategic Plans containing multiple Projects containing ordered Tasks. A middle shell samples probability distributions of durations of Tasks. An inner shell samples probability distributions of costs of Tasks. PATHTREE is used to develop options on schedules.. Algorithms used for Trading in Risk Dimensions (TRD) are applied to develop a relative risk analysis among projects. 
90,Groups with finitely many conjugacy classes and their automorphisms,Ashot Minasyan,"  We combine classical methods of combinatorial group theory with the theory of small cancellations over relatively hyperbolic groups to construct finitely generated torsion-free groups that have only finitely many classes of conjugate elements. Moreover, we present several results concerning embeddings into such groups.   As another application of these techniques, we prove that every countable group $C$ can be realized as a group of outer automorphisms of a group $N$, where $N$ is a finitely generated group having Kazhdan's property (T) and containing exactly two conjugacy classes. "
91,Energy density for chiral lattice fermions with chemical potential,Christof Gattringer and Ludovit Liptak,  We study a recently proposed formulation of overlap fermions at finite density. In particular we compute the energy density as a function of the chemical potential and the temperature. It is shown that overlap fermions with chemical potential reproduce the correct continuum behavior. 
92,Aspects of Electron-Phonon Self-Energy Revealed from Angle-Resolved   Photoemission Spectroscopy,"W.S. Lee, S. Johnston, T.P. Devereaux, and Z.-X. Shen","  Lattice contribution to the electronic self-energy in complex correlated oxides is a fascinating subject that has lately stimulated lively discussions. Expectations of electron-phonon self-energy effects for simpler materials, such as Pd and Al, have resulted in several misconceptions in strongly correlated oxides. Here we analyze a number of arguments claiming that phonons cannot be the origin of certain self-energy effects seen in high-$T_c$ cuprate superconductors via angle resolved photoemission experiments (ARPES), including the temperature dependence, doping dependence of the renormalization effects, the inter-band scattering in the bilayer systems, and impurity substitution. We show that in light of experimental evidences and detailed simulations, these arguments are not well founded. "
93,Timing and Lensing of the Colliding Bullet Clusters: barely enough time   and gravity to accelerate the bullet,"HongSheng Zhao (SUPA, St Andrews)","  We present semi-analytical constraint on the amount of dark matter in the merging bullet galaxy cluster using the classical Local Group timing arguments. We consider particle orbits in potential models which fit the lensing data. {\it Marginally consistent} CDM models in Newtonian gravity are found with a total mass M_{CDM} = 1 x 10^{15}Msun of Cold DM: the bullet subhalo can move with V_{DM}=3000km/s, and the ""bullet"" X-ray gas can move with V_{gas}=4200km/s. These are nearly the {\it maximum speeds} that are accelerable by the gravity of two truncated CDM halos in a Hubble time even without the ram pressure. Consistency breaks down if one adopts higher end of the error bars for the bullet gas speed (5000-5400km/s), and the bullet gas would not be bound by the sub-cluster halo for the Hubble time. Models with V_{DM}~ 4500km/s ~ V_{gas} would invoke unrealistic large amount M_{CDM}=7x 10^{15}Msun of CDM for a cluster containing only ~ 10^{14}Msun of gas. Our results are generalisable beyond General Relativity, e.g., a speed of $4500\kms$ is easily obtained in the relativistic MONDian lensing model of Angus et al. (2007). However, MONDian model with little hot dark matter $M_{HDM} \le 0.6\times 10^{15}\msun$ and CDM model with a small halo mass $\le 1\times 10^{15}\msun$ are barely consistent with lensing and velocity data. "
94,Geometry of Locally Compact Groups of Polynomial Growth and Shape of   Large Balls,Emmanuel Breuillard,"  We get asymptotics for the volume of large balls in an arbitrary locally compact group G with polynomial growth. This is done via a study of the geometry of G and a generalization of P. Pansu's thesis. In particular, we show that any such G is weakly commensurable to some simply connected solvable Lie group S, the Lie shadow of G. We also show that large balls in G have an asymptotic shape, i.e. after a suitable renormalization, they converge to a limiting compact set which can be interpreted geometrically. We then discuss the speed of convergence, treat some examples and give an application to ergodic theory. We also answer a question of Burago about left invariant metrics and recover some results of Stoll on the irrationality of growth series of nilpotent groups. "
95,Much ado about 248,M.C. Nucci and P.G.L. Leach,"  In this note we present three representations of a 248-dimensional Lie algebra, namely the algebra of Lie point symmetries admitted by a system of five trivial ordinary differential equations each of order forty-four, that admitted by a system of seven trivial ordinary differential equations each of order twenty-eight and that admitted by one trivial ordinary differential equation of order two hundred and forty-four. "
96,Conformal Field Theory and Operator Algebras,Yasuyuki Kawahigashi,  We review recent progress in operator algebraic approach to conformal quantum field theory. Our emphasis is on use of representation theory in classification theory. This is based on a series of joint works with R. Longo. 
97,Sparsely-spread CDMA - a statistical mechanics based analysis,"Jack Raymond, David Saad","  Sparse Code Division Multiple Access (CDMA), a variation on the standard CDMA method in which the spreading (signature) matrix contains only a relatively small number of non-zero elements, is presented and analysed using methods of statistical physics. The analysis provides results on the performance of maximum likelihood decoding for sparse spreading codes in the large system limit. We present results for both cases of regular and irregular spreading matrices for the binary additive white Gaussian noise channel (BIAWGN) with a comparison to the canonical (dense) random spreading code. "
98,On Ando's inequalities for convex and concave functions,Koenraad M.R. Audenaert and Jaspal Singh Aujla,"  For positive semidefinite matrices $A$ and $B$, Ando and Zhan proved the inequalities $||| f(A)+f(B) ||| \ge ||| f(A+B) |||$ and $||| g(A)+g(B) ||| \le ||| g(A+B) |||$, for any unitarily invariant norm, and for any non-negative operator monotone $f$ on $[0,\infty)$ with inverse function $g$. These inequalities have very recently been generalised to non-negative concave functions $f$ and non-negative convex functions $g$, by Bourin and Uchiyama, and Kosem, respectively.   In this paper we consider the related question whether the inequalities $||| f(A)-f(B) ||| \le ||| f(|A-B|) |||$, and $||| g(A)-g(B) ||| \ge ||| g(|A-B|) |||$, obtained by Ando, for operator monotone $f$ with inverse $g$, also have a similar generalisation to non-negative concave $f$ and convex $g$. We answer exactly this question, in the negative for general matrices, and affirmatively in the special case when $A\ge ||B||$.   In the course of this work, we introduce the novel notion of $Y$-dominated majorisation between the spectra of two Hermitian matrices, where $Y$ is itself a Hermitian matrix, and prove a certain property of this relation that allows to strengthen the results of Bourin-Uchiyama and Kosem, mentioned above. "
99,Topology Change of Black Holes,Daisuke Ida and Masaru Siino,"  The topological structure of the event horizon has been investigated in terms of the Morse theory. The elementary process of topological evolution can be understood as a handle attachment. It has been found that there are certain constraints on the nature of black hole topological evolution: (i) There are n kinds of handle attachments in (n+1)-dimensional black hole space-times. (ii) Handles are further classified as either of black or white type, and only black handles appear in real black hole space-times. (iii) The spatial section of an exterior of the black hole region is always connected. As a corollary, it is shown that the formation of a black hole with an S**(n-2) x S**1 horizon from that with an S**(n-1) horizon must be non-axisymmetric in asymptotically flat space-times. "
100,The birth of string theory,Paolo Di Vecchia,  In this contribution we go through the developments that in the years 1968 to 1974 led from the Veneziano model to the bosonic string. 
101,Duality and Tameness,"Marc Chardin, Steven Dale Cutkosky, Juergen Herzog and Hema Srinivasan",  We prove a duality theorem for certain graded algebras and show by various examples different kinds of failure of tameness of local cohomology. 
102,Generalized regularly discontinuous solutions of the Einstein equations,Gianluca Gemelli,"  The physical consistency of the match of piecewise-$C^0$ metrics is discussed. The mathematical theory of gravitational discontinuity hypersurfaces is generalized to cover the match of regularly discontinuous metrics. The mean-value differential geometry framework on a hypersurface is introduced, and corresponding compatibility conditions are deduced. Examples of generalized boundary layers, gravitational shock waves and thin shells are studied. "
103,"A geometric realization of sl(6,C)","Giovanni Gaiffi, Michele Grassi","  Given an orientable weakly self-dual manifold X of rank two, we build a geometric realization of the Lie algebra sl(6,C) as a naturally defined algebra L of endomorphisms of the space of differential forms of X. We provide an explicit description of Serre generators in terms of natural generators of L. This construction gives a bundle on X which is related to the search for a natural Gauge theory on X. We consider this paper as a first step in the study of a rich and interesting algebraic structure. "
104,Rigid subsets of symplectic manifolds,Michael Entov and Leonid Polterovich,"  We show that there is an hierarchy of intersection rigidity properties of sets in a closed symplectic manifold: some sets cannot be displaced by symplectomorphisms from more sets than the others. We also find new examples of rigidity of intersections involving, in particular, specific fibers of moment maps of Hamiltonian torus actions, monotone Lagrangian submanifolds (following the works of P.Albers and P.Biran-O.Cornea), as well as certain, possibly singular, sets defined in terms of Poisson-commutative subalgebras of smooth functions. In addition, we get some geometric obstructions to semi-simplicity of the quantum homology of symplectic manifolds. The proofs are based on the Floer-theoretical machinery of partial symplectic quasi-states. "
105,Multiple Parton Scattering in Nuclei: Quark-quark Scattering,"Andreas Schafer, Xin-Nian Wang and Ben-Wei Zhang","  Modifications to quark and antiquark fragmentation functions due to quark-quark (antiquark) double scattering in nuclear medium are studied systematically up to order \cal{O}(\alpha_{s}^2)$ in deeply inelastic scattering (DIS) off nuclear targets. At the order $\cal{O}(\alpha_s^2)$, twist-four contributions from quark-quark (antiquark) rescattering also exhibit the Landau-Pomeranchuck-Midgal (LPM) interference feature similar to gluon bremsstrahlung induced by multiple parton scattering. Compared to quark-gluon scattering, the modification, which is dominated by $t$-channel quark-quark (antiquark) scattering, is only smaller by a factor of $C_F/C_A=4/9$ times the ratio of quark and gluon distributions in the medium. Such a modification is not negligible for realistic kinematics and finite medium size. The modifications to quark (antiquark) fragmentation functions from quark-antiquark annihilation processes are shown to be determined by the antiquark (quark) distribution density in the medium. The asymmetry in quark and antiquark distributions in nuclei will lead to different modifications of quark and antiquark fragmentation functions inside a nucleus, which qualitatively explains the experimentally observed flavor dependence of the leading hadron suppression in semi-inclusive DIS off nuclear targets. The quark-antiquark annihilation processes also mix quark and gluon fragmentation functions in the large fractional momentum region, leading to a flavor dependence of jet quenching in heavy-ion collisions. "
106,Experimental modeling of physical laws,I. Grabec,"  A physical law is represented by the probability distribution of a measured variable. The probability density is described by measured data using an estimator whose kernel is the instrument scattering function. The experimental information and data redundancy are defined in terms of information entropy. The model cost function, comprised of data redundancy and estimation error, is minimized by the creation-annihilation process. "
107,Reducing SAT to 2-SAT,Sergey Gubin,  Description of a polynomial time reduction of SAT to 2-SAT of polynomial size. 
108,Half-metallic silicon nanowires,"Engin Durgun, Deniz Cakir, Nurten Akman, and Salim Ciraci","  From first-principles calculations, we predict that transition metal (TM) atom doped silicon nanowires have a half-metallic ground state. They are insulators for one spin-direction, but show metallic properties for the opposite spin direction. At high coverage of TM atoms, ferromagnetic silicon nanowires become metallic for both spin-directions with high magnetic moment and may have also significant spin-polarization at the Fermi level. The spin-dependent electronic properties can be engineered by changing the type of dopant TM atoms, as well as the diameter of the nanowire. Present results are not only of scientific interest, but can also initiate new research on spintronic applications of silicon nanowires. "
109,On Equivariant Embedding of Hilbert C^* modules,Debashish Goswami,"  We prove that an arbitrary (not necessarily countably generated) Hilbert $G$-$\cla$ module on a G-C^* algebra $\cla$ admits an equivariant embedding into a trivial $G-\cla$ module, provided G is a compact Lie group and its action on $\cla$ is ergodic. "
110,Invariance and the twisted Chern character : a case study,Debashish Goswami,"  We give details of the proof of the remark made in \cite{G2} that the Chern characters of the canonical generators on the K homology of the quantum group $SU_q(2)$ are not invariant under the natural $SU_q(2)$ coaction. Furthermore, the conjecture made in \cite{G2} about the nontriviality of the twisted Chern character coming from an odd equivariant spectral triple on $SU_q(2)$ is settled in the affirmative. "
111,Placeholder Substructures III: A Bit-String-Driven ''Recipe Theory'' for   Infinite-Dimensional Zero-Divisor Spaces,Robert P. C. de Marrais,"  Zero-divisors (ZDs) derived by Cayley-Dickson Process (CDP) from N-dimensional hypercomplex numbers (N a power of 2, at least 4) can represent singularities and, as N approaches infinite, fractals -- and thereby,scale-free networks. Any integer greater than 8 and not a power of 2 generates a meta-fractal or ""Sky"" when it is interpreted as the ""strut constant"" (S) of an ensemble of octahedral vertex figures called ""Box-Kites"" (the fundamental building blocks of ZDs). Remarkably simple bit-manipulation rules or ""recipes"" provide tools for transforming one fractal genus into others within the context of Wolfram's Class 4 complexity. "
112,Langmuir blodgett assembly of densely aligned single walled carbon   nanotubes from bulk materials,"Xiaolin Li, Li Zhang, Xinran Wang, Iwao Shimoyama, Xiaoming Sun,   Won-Seok Seo and Hongjie Dai (Department of Chemistry, Stanford University.)","  Single walled carbon nanotubes exhibit advanced electrical and surface properties useful for high performance nanoelectronics. Important to future manufacturing of nanotube circuits is large scale assembly of SWNTs into aligned forms. Despite progress in assembly and oriented synthesis, pristine SWNTs in aligned and close-packed form remain elusive and needed for high current, speed and density devices through collective operations of parallel SWNTs. Here, we develop a Langmuir Blodgett method achieving monolayers of aligned SWNTs with dense packing, central to which is a non covalent polymer functionalization by PmPV imparting high solubility and stability of SWNTs in an organic solvent DCE. Pressure cycling or annealing during LB film compression reduces hysteresis and facilitates high degree alignment and packing of SWNTs characterized by microscopy and polarized Raman spectroscopy. The monolayer SWNTs are readily patterned for device integration by microfabrication, enabling the highest currents 3mA through the narrowest regions packed with aligned SWNTs thus far. "
113,Quantum Phase Transition in the Four-Spin Exchange Antiferromagnet,"Valeri N. Kotov, Dao-Xin Yao, A. H. Castro Neto, D. K. Campbell","  We study the S=1/2 Heisenberg antiferromagnet on a square lattice with nearest-neighbor and plaquette four-spin exchanges (introduced by A.W. Sandvik, Phys. Rev. Lett. {\bf 98}, 227202 (2007).)   This model undergoes a quantum phase transition from a spontaneously dimerized phase to N\'eel order at a critical coupling. We show that as the critical point is approached from the dimerized side, the system exhibits strong fluctuations in the dimer background, reflected in the presence of a low-energy singlet mode, with a simultaneous rise in the triplet quasiparticle density. We find that both singlet and triplet modes of high density condense at the transition, signaling restoration of lattice symmetry. In our approach, which goes beyond mean-field theory in terms of the triplet excitations, the transition appears sharp; however since our method breaks down near the critical point, we argue that we cannot make a definite conclusion regarding the order of the transition. "
114,Smooth maps with singularities of bounded K-codimensions,Yoshifumi Ando,  We will prove the relative homotopy principle for smooth maps with singularities of a given {\cal K}-invariant class with a mild condition. We next study a filtration of the group of homotopy self-equivalences of a given manifold P by considering singularities of non-negative {\cal K}-codimensions. 
115,Stringy Jacobi fields in Morse theory,"Yong Seung Cho, Soon-Tae Hong","  We consider the variation of the surface spanned by closed strings in a spacetime manifold. Using the Nambu-Goto string action, we induce the geodesic surface equation, the geodesic surface deviation equation which yields a Jacobi field, and we define the index form of a geodesic surface as in the case of point particles to discuss conjugate strings on the geodesic surface. "
116,Lower ground state due to counter-rotating wave interaction in trapped   ion system,"T. Liu, K.L. Wang, and M. Feng","  We consider a single ion confined in a trap under radiation of two traveling waves of lasers. In the strong-excitation regime and without the restriction of Lamb-Dicke limit, the Hamiltonian of the system is similar to a driving Jaynes-Cummings model without rotating wave approximation (RWA). The approach we developed enables us to present a complete eigensolutions, which makes it available to compare with the solutions under the RWA. We find that, the ground state in our non-RWA solution is energically lower than the counterpart under the RWA. If we have the ion in the ground state, it is equivalent to a spin dependent force on the trapped ion. Discussion is made for the difference between the solutions with and without the RWA, and for the relevant experimental test, as well as for the possible application in quantum information processing. "
117,Strained single-crystal Al2O3 grown layer-by-layer on Nb (110) thin   films,Paul B. Welander and James N. Eckstein,"  We report on the layer-by-layer growth of single-crystal Al2O3 thin-films on Nb (110). Single-crystal Nb films are first prepared on A-plane sapphire, followed by the evaporation of Al in an O2 background. The first stages of Al2O3 growth are layer-by-layer with hexagonal symmetry. Electron and x-ray diffraction measurements indicate the Al2O3 initially grows clamped to the Nb lattice with a tensile strain near 10%. This strain relaxes with further deposition, and beyond about 5 nm we observe the onset of island growth. Despite the asymmetric misfit between the Al2O3 film and the Nb under-layer, the observed strain is surprisingly isotropic. "
118,Quasi-quartet crystal electric field ground state in a tetragonal   CeAg$_2$Ge$_2$ single crystal,"A. Thamizhavel, R. Kulkarni and S. K. Dhar","  We have successfully grown the single crystals of CeAg$_2$Ge$_2$, for the first time, by flux method and studied the anisotropic physical properties by measuring the electrical resistivity, magnetic susceptibility and specific heat. We found that CeAg$_2$Ge$_2$ undergoes an antiferromagnetic transition at $T_{\rm N}$ = 4.6 K. The electrical resistivity and susceptibility data reveal strong anisotropic magnetic properties. The magnetization measured at $T$ = 2 K exhibited two metamagnetic transitions at $H_{\rm m1}$ = 31 kOe and $H_{\rm m2}$ = 44.7 kOe, for $H \parallel$ [100] with a saturation magnetization of 1.6 $\mu_{\rm B}$/Ce. The crystalline electric field (CEF) analysis of the inverse susceptibility data reveals that the ground state and the first excited states of CeAg$_2$Ge$_2$ are closely spaced indicating a quasi-quartet ground state. The specific heat data lend further support to the presence of closely spaced energy levels. "
119,Strong Phase and $D^0-D^0bar$ mixing at BES-III,"Xiao-Dong Cheng, Kang-Lin He, Hai-Bo Li, Yi-Fang Wang, Mao-Zhi Yang","  Most recently, both BaBar and Belle experiments found evidences of neutral $D$ mixing. In this paper, we discuss the constraints on the strong phase difference in $D^0 \to K\pi$ decay from the measurements of the mixing parameters, $y^\prime$, $y_{CP}$ and $x$ at the $B$ factories. The sensitivity of the measurement of the mixing parameter $y$ is estimated in BES-III experiment at $\psi(3770)$ peak. We also make an estimate on the measurements of the mixing rate $R_M$. Finally, the sensitivity of the strong phase difference at BES-III are obtained by using data near the $D\bar{D}$ threshold with CP tag technique at BES-III experiment. "
120,Meta-Stable Brane Configuration of Product Gauge Groups,Changhyun Ahn,"  Starting from the N=1 SU(N_c) x SU(N_c') gauge theory with fundamental and bifundamental flavors, we apply the Seiberg dual to the first gauge group and obtain the N=1 dual gauge theory with dual matters including the gauge singlets. By analyzing the F-term equations of the superpotential, we describe the intersecting type IIA brane configuration for the meta-stable nonsupersymmetric vacua of this gauge theory. By introducing an orientifold 6-plane, we generalize to the case for N=1 SU(N_c) x SO(N_c') gauge theory with fundamental and bifundamental flavors. Finally, the N=1 SU(N_c) x Sp(N_c') gauge theory with matters is also described very briefly. "
121,Spinor dipolar Bose-Einstein condensates; Classical spin approach,"M. Takahashi, Sankalpa Ghosh, T. Mizushima, K. Machida","  Magnetic dipole-dipole interaction dominated Bose-Einstein condensates are discussed under spinful situations. We treat the spin degrees of freedom as a classical spin vector, approaching from large spin limit to obtain an effective minimal Hamiltonian; a version extended from a non-linear sigma model. By solving the Gross-Pitaevskii equation we find several novel spin textures where the mass density and spin density are strongly coupled, depending upon trap geometries due to the long-range and anisotropic natures of the dipole-dipole interaction. "
122,Nonlinear Dynamics of the Phonon Stimulated Emission in Microwave   Solid-State Resonator of the Nonautonomous Phaser Generator,D. N. Makovetskii,"  The microwave phonon stimulated emission (SE) has been experimentally and numerically investigated in a nonautonomous microwave acoustic quantum generator, called also microwave phonon laser or phaser (see previous works arXiv:cond-mat/0303188 ; arXiv:cond-mat/0402640 ; arXiv:nlin.CG/0703050) Phenomena of branching and long-time refractority (absence of the reaction on the external pulses) for deterministic chaotic and regular processes of SE were observed in experiments with various levels of electromagnetic pumping. At the pumping level growth, the clearly depined increasing of the number of coexisting SE states has been observed both in real physical experiments and in computer simulations. This confirms the analytical estimations of the branching density in the phase space. The nature of the refractority of SE pulses is closely connected with the pointed branching and reflects the crises of strange attractors, i.e. their collisions with unstable periodic components of the higher branches of SE states in the nonautonomous microwave phonon laser. "
123,Proper J-holomorphic discs in Stein domains of dimension 2,"Bernard Coupet, Alexandre Sukhov, and Alexander Tumanov",  We prove the existence of global Bishop discs in a strictly pseudoconvex Stein domain in an almost complex manifold of complex dimension 2. 
124,Anisotropic thermo-elasticity in 2D -- Part I: A unified approach,Michael Reissig and Jens Wirth,  In this note we develop tools and techniques for the treatment of anisotropic thermo-elasticity in two space dimensions. We use a diagonalisation technique to obtain properties of the characteristic roots of the full symbol of the system in order to prove $L^p$--$L^q$ decay rates for its solutions. 
